,bootstrap_sample,policy,log_step,time_step,reward
168,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,4907,169,1
169,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,4919,170,1
170,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,4935,171,1
171,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,5028,172,1
172,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,5093,173,1
173,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,5172,174,0
174,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,5182,175,1
175,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,5205,176,1
176,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,5270,177,1
177,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,5276,178,1
178,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,5280,179,0
179,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,5400,180,1
180,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,5446,181,0
181,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,5484,182,1
182,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,5612,183,1
183,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,5654,184,1
184,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,5663,185,1
185,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,5816,186,1
186,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,5857,187,1
187,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,5881,188,1
188,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,5894,189,1
189,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,5901,190,0
190,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,5929,191,0
191,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,5933,192,0
192,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,5946,193,1
193,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,6069,194,1
194,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,6111,195,1
195,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,6143,196,1
196,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,6177,197,1
197,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,6200,198,0
198,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,6211,199,1
199,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,6212,200,0
200,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,6222,201,0
201,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,6248,202,1
202,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,6250,203,0
203,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,6255,204,0
204,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,6310,205,1
205,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,6326,206,1
206,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,6610,207,0
207,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,6623,208,1
208,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,6720,209,0
209,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,6808,210,0
210,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,6830,211,1
211,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,6839,212,1
212,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,6887,213,1
213,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,6942,214,0
214,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,6961,215,0
215,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,6997,216,1
216,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,7015,217,1
217,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,7063,218,1
218,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,7081,219,1
219,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,7085,220,1
220,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,7113,221,1
221,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,7253,222,1
222,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,7256,223,1
223,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,7313,224,0
224,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,7352,225,1
225,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,7402,226,1
226,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,7412,227,0
227,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,7431,228,1
228,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,7447,229,1
229,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,7483,230,1
230,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,7491,231,1
231,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,7517,232,1
232,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,7542,233,1
233,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,7562,234,1
234,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,7596,235,1
235,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,7598,236,1
236,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,7802,237,1
237,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,7819,238,1
238,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,7840,239,0
239,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,7864,240,0
240,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,7870,241,1
241,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,7880,242,0
242,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,7921,243,0
243,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,7925,244,1
244,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,7936,245,1
245,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,7999,246,1
246,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,8028,247,0
247,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,8095,248,0
248,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,8132,249,0
249,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,8134,250,1
250,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,8152,251,1
251,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,8171,252,1
252,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,8197,253,1
253,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,8254,254,1
254,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,8344,255,1
255,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,8363,256,1
256,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,8421,257,0
257,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,8450,258,1
258,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,8474,259,1
259,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,8478,260,1
260,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,8488,261,0
261,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,8514,262,0
262,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,8551,263,0
263,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,8690,264,1
264,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,8695,265,1
265,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,8728,266,0
266,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,8787,267,0
267,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,8814,268,1
268,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,8838,269,1
269,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,8972,270,1
270,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,8989,271,0
271,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,9016,272,1
272,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,9038,273,0
273,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,9128,274,0
274,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,9149,275,1
275,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,9194,276,1
276,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,9239,277,0
277,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,9259,278,1
278,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,9322,279,1
279,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,9326,280,1
280,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,9329,281,1
281,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,9366,282,0
282,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,9393,283,1
283,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,9401,284,1
284,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,9452,285,1
285,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,9464,286,1
286,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,9465,287,0
287,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,9485,288,1
288,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,9520,289,1
289,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,9529,290,1
290,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,9597,291,1
291,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,9672,292,1
292,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,9733,293,1
293,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,9751,294,0
294,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,9912,295,1
295,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,9995,296,0
296,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,10008,297,1
297,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,10058,298,1
298,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,10061,299,0
299,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,10064,300,1
300,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,10110,301,0
301,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,10170,302,1
302,1,<__main__.linucb_disjoint_policy object at 0x0000025D1D7CD8B0>,10190,303,1
